Time,Bid,Ask,Last,Volume,Type
2023.04.24 13:50:05.970,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.987,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:50:05.987,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:50:05.987,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:50:05.987,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:50:06.856,43.94,43.95,43.94,600.00,Sell
2023.04.24 13:50:06.891,43.94,43.95,43.94,200.00,Sell
2023.04.24 13:50:07.817,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:07.831,43.94,43.95,43.95,200.00,Buy
2023.04.24 13:50:08.067,43.94,43.95,43.95,200.00,Buy
2023.04.24 13:50:08.592,43.95,43.96,43.94,100.00,Sell
2023.04.24 13:50:10.076,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:50:10.076,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:50:11.667,43.96,43.97,43.96,100.00,Sell
2023.04.24 13:50:14.332,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.332,43.95,43.96,43.96,201.00,Buy
2023.04.24 13:50:14.332,43.95,43.96,43.96,400.00,Buy
2023.04.24 13:50:14.332,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.332,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.332,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:50:14.332,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.332,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.332,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.332,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.352,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.352,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.352,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.352,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:50:14.352,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:50:14.352,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:14.384,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:19.792,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:50:19.792,43.95,43.96,43.95,200.00,Sell
2023.04.24 13:50:19.799,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:19.799,43.95,43.96,43.96,300.00,Buy
2023.04.24 13:50:20.152,43.95,43.96,43.96,200.00,Buy
2023.04.24 13:50:20.175,43.97,43.97,43.96,100.00,Sell
2023.04.24 13:50:20.175,43.97,43.97,43.96,100.00,Sell
2023.04.24 13:50:20.175,43.97,43.97,43.96,100.00,Sell
2023.04.24 13:50:20.175,43.97,43.97,43.96,200.00,Sell
2023.04.24 13:50:20.175,43.97,43.97,43.96,100.00,Sell
2023.04.24 13:50:22.683,43.97,43.98,43.98,100.00,Buy
2023.04.24 13:50:31.691,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:50:31.691,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:50:31.709,43.98,43.99,43.99,100.00,Buy
2023.04.24 13:50:32.312,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:50:32.313,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:50:32.313,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:50:32.313,43.98,43.99,43.98,100.00,Sell
2023.04.24 13:50:33.304,43.97,43.98,43.97,100.00,Sell
2023.04.24 13:50:33.839,43.97,43.98,43.97,100.00,Sell
2023.04.24 13:50:37.462,43.96,43.97,43.97,200.00,Buy
2023.04.24 13:50:41.011,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:41.011,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:41.011,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:41.011,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:42.685,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:47.668,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:50:47.770,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:47.770,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:47.770,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:47.775,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:47.800,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:51.635,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:50:52.729,43.92,43.93,43.93,124.00,Buy
2023.04.24 13:50:52.729,43.92,43.93,43.93,100.00,Buy
2023.04.24 13:50:56.696,43.92,43.93,43.92,100.00,Sell
2023.04.24 13:50:56.696,43.92,43.93,43.92,100.00,Sell
2023.04.24 13:50:58.133,43.94,43.95,43.93,801.00,Sell
2023.04.24 13:50:58.133,43.94,43.95,43.93,340.00,Sell
2023.04.24 13:50:58.133,43.94,43.95,43.93,100.00,Sell
2023.04.24 13:50:58.133,43.94,43.95,43.93,100.00,Sell
2023.04.24 13:50:58.133,43.94,43.95,43.93,100.00,Sell
2023.04.24 13:50:58.133,43.94,43.95,43.94,800.00,Sell
2023.04.24 13:50:58.133,43.94,43.95,43.95,100.00,Buy
