,Capital Gains,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY
Date,,,,,,,,,,,,,,,,,,,,,,
2021-07-14,0.0,147.22360229492188,225.66461181640625,421.7259216308594,0.0,0.0,0.0,147.63819091291543,227.49177680000827,423.35004905026454,145.77258731707312,225.19829841394406,420.4401848219895,146.1871759350667,225.56944107434734,422.84733100287826,0.0,0.0,0.0,127050800,1993200,64130400
2021-07-15,0.0,146.56227111816406,225.4267120361328,420.2855224609375,0.0,0.0,0.0,148.06264345579518,225.91204799722158,421.0395700618016,145.19022455794214,223.56147284342674,418.323063352135,147.31246481783512,225.1507255814024,420.3435238531398,0.0,0.0,0.0,106820300,2165800,55126400
2021-07-16,0.0,144.49923706054688,223.39967346191406,416.989013671875,0.0,0.0,0.0,147.82570557179542,226.3783404214647,421.5519771583616,143.9958296047772,223.04756786718696,416.58300388620256,146.54250832433857,226.29268094838258,421.50365249414625,0.0,0.0,0.0,93251400,1680900,75874700
2021-07-19,0.0,140.61013793945312,218.1751251220703,410.8309631347656,0.0,0.0,0.0,142.20922454745195,222.03883368725258,417.0567023586953,139.84021348666855,215.47244444854778,407.93077515475755,141.89335038133046,221.26798551479612,412.01037409339176,0.0,0.0,0.0,121434600,3774900,147987000
2021-07-20,0.0,144.26234436035156,222.94290161132812,416.7182922363281,0.0,0.0,0.0,145.20008636432559,224.13246332188348,418.0330593072984,141.1135585330338,219.07920749880702,410.69555861794515,141.6071006144058,219.49792102326825,411.5172843495223,0.0,0.0,0.0,96350000,3275600,99608200
2021-07-21,0.0,143.52206420898438,224.5226593017578,420.09222412109375,0.0,0.0,0.0,144.24264665775422,226.59726276025614,420.23725712430723,142.76202007350042,223.84699628932037,416.6700234891261,143.65038999936772,224.57024468090586,417.95576053409053,0.0,0.0,0.0,74993500,2146600,64724400
2021-07-22,0.0,144.90396118164062,227.13014221191406,420.9718322753906,0.0,0.0,0.0,146.2858730141573,228.100828587404,421.22319127413334,143.92674241754784,223.78985831524952,419.2607324434567,144.05506818117775,224.25615719013894,420.27578616537465,0.0,0.0,0.0,77338200,2538300,47878500
2021-07-23,0.0,146.64125061035156,231.2127227783203,425.3028259277344,0.0,0.0,0.0,146.7991877232995,233.20166635144722,425.65083426174016,145.02243285691557,228.01518051544443,422.25763499625424,145.64430082557797,228.5195534881318,422.96332839651006,0.0,0.0,0.0,71447400,3996400,63766600
2021-07-26,0.0,147.06570434570312,232.1833953857422,426.34686279296875,0.0,0.0,0.0,147.89485159400874,232.74487951654376,426.3565395248127,145.79235708564403,229.91847989445043,424.6454396156119,146.355002400952,230.299133811352,424.6937642703693,0.0,0.0,0.0,72434100,2638400,43719200
2021-07-27,0.0,144.8743438720703,234.43881225585938,424.40380859375,0.0,0.0,0.0,147.2828315906423,235.1049638656128,425.3028596968822,143.67010001278433,232.25952721414657,421.4842674384714,147.19398257088184,232.36420921860895,425.2738590000791,0.0,0.0,0.0,104818600,3135200,67397100
